"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"334";"2544";"1634";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"";"";"";"8905";"May 1989";"White";"10° 0′ 0″";"118° 49′ 48″";"10.000000";"118.830000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"335";"2720";"1810";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"";"";"";"9104";"April 1991";"";"10° 0′ 0″";"118° 49′ 48″";"10.000000";"118.830000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"336";"2545";"1635";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Roxas";"San Jose";"";"8905";"May 1989";"Yellow/Light Purple/White";"10° 49' 0""";"119° 31' 0";"10.816700";"119.516700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"337";"2546";"1636";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Roxas";"San Jose";"";"8905";"May 1989";"White";"10° 49' 0""";"119° 31' 0";"10.816700";"119.516700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"338";"2547";"1637";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Puerto Princesa";"Bacungan";"";"8905";"May 1989";"Yellow/Light Purple";"9°54'17""";"118°39'37""";"9.904700";"119.660300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"339";"2548";"1638";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Rodolfo Tanis";"";"";"8905";"May 1989";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"340";"2549";"1639";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Rodolfo Tanis";"";"";"8905";"May 1989";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"341";"2550";"1640";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Quezon";"Tagbai";"";"8905";"May 1989";"Light Purple/Yellow";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"118.033300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"342";"2551";"1641";"";"MALAGKIT SALT";"";"";"Z. mays L. ";"Philippines";"Palawan";"Puas Doro";"Bobo Boui";"";"8905";"May 1989";"Green/White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"343";"2552";"1642";"";"BATIK";"";"";"Z. mays L. ";"Philippines";"Palawan";"";"Larasa";"";"8905";"May 1989";"Yellow/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"344";"2553";"1643";"";"";"";"Benedicto Macola";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yelllow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"345";"2554";"1644";"";"";"";"";"Z. mays L. ";"Philippines";"Iloilo";"Lambunao";"Pasig";"";"8905";"May 1989";"Yellow/Light Purple";"11° 3' 20";"122° 28' 33";"11.055600";"11.055600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"346";"2555";"1645";"";"PILIT";"";"";"Z. mays L. ";"Philippines";"Iloilo";"Lambunao";"Pasig";"";"8905";"May 1989";"White/Light Purple";"11° 3' 20";"122° 28' 33";"11.055600";"11.055600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"347";"2556";"1646";"";"MALAGKIT";"";"Filomino Heranis";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"White";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"348";"2557";"1647";"";"SAPNIT";"";"Benedicto Macola";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-1";"2558";"1648";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-2";"2559";"1649";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-3";"2560";"1650";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-4";"2561";"1651";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"350-1";"2562";"1652";"";"";"";"";"Z. mays L.";"Philippines";"Palawan";"Quezon";"Nixon";"";"8905";"May 1989";"Purple";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"9.233300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
