"PHL_NO.";"OLD ACC_NO";"GB_NO";"DAYS_EMER";"DAYS_TASS";"DAYS_SILK";"DAYS_HARV";"TIL_INDX_A";"STEMCOL";"SHEATHPUB";"LVS_TOT_A";"LEAFLNTH_A";"LEAFWDTH_A";"LEAFORIENT";"PRESLFLIG";"VENINDEX";"TASSTYPE";"SILKCOLOR";"TASSCOLOR";"PLTHGHT_A";"EARHGHT_A";"FOLIAGE";"NO_LEA_A_A";"NO_LEA_B_A";"NO_INT_B_A";"NO_INT_W_A";"STMDIABA_A";"STMDIABE_A";"TAS_LNTH_A";"TAPED_LT_A";"TAS_BSPA_A";"NO_PBTAS_A";"NO_SBTAS_A";"NO_TBTAS_A";"STAYGREEN";"DAYS_EL_SN";"STALKLOD";"EARHUSKCO";"EARHUSKFIT";"EARHUSKTS";"EARSHAPE";"EARTIPSHPE";"EAR_ORIENT";"EARLNTH_A";"EARDIAM_A";"COBDIAM_A";"RACDIAM_A";"PEDLNTH_A";"NO_BRCTS_A";"KER_RW_ARR";"NO_K_ROW_A";"NO_K_PRW_A";"COBCOLOR";"PERCENT_GS";"KERNEL_TYP";"KERNEL_COL";"KER_LNT_A";"KER_WDT_A";"KER_THK_A";"SHAPE_UKS";"PER_COLOR";"ALE_COLOR";"END_COLOR";"UNSH_WGT_A";"SHEL_WGT_A";"KERWGT1000";"SHELL_PC";"";""
"2396";"2716";"1806";"5";"";"42";"88";"1.00";"4 1 5";"";"9.50";"0.00";"0.00";"1";"1";"0.00";"2";"1";"1 3";"0.00";"0.00";"";"6.20";"3.70";"3.40";"7.50";"0.00";"0.00";"32.71";"24.45";"11.10";"11.10";"3.10";"0.00";"3";"0";"";"";"5";"9";"1";"5";"1";"10.64";"3.97";"2.73";"1.60";"5.33";"2.40";"1";"3.40";"22.00";"1";"0.00";"2 4 6";"1 3";"9.29";"7.90";"3.16";"3";"";"";"";"84.37";"71.09";"224.51";"84.25";"";""
"2397";"2717";"1807";"5";"";"42";"88";"0.00";"4 1";"5";"10.90";"0.00";"0.00";"1";"1";"0.00";"2";"4 1";"3 1";"0.00";"0.00";"";"6.40";"4.70";"4.30";"9.90";"0.00";"0.00";"37.63";"22.07";"12.14";"13.00";"4.50";"0.00";"3";"0";"";"";"";"5";"2";"5";"1";"13.09";"4.21";"2.79";"1.60";"8.01";"17.10";"1";"13.40";"29.20";"1";"0.00";"5 6 4";"1";"9.99";"8.53";"3.71";"3 4";"";"";"";"113.97";"95.03";"269.62";"83.38";"";""
"3045";"2718";"1808";"5";"";"42";"88";"0.00";"4 1";"5";"10.90";"0.00";"0.00";"1";"1";"11.60";"2";"1 4";"1 3";"0.00";"0.00";"";"6.10";"5.50";"4.40";"10.60";"0.00";"0.00";"30.45";"23.00";"8.61";"14.50";"2.00";"0.00";"3";"0";"";"5";"5";"9";"3";"1";"3";"8.63";"5.16";"3.62";"2.48";"4.26";"17.50";"1";"17.80";"17.62";"1";"0.00";"2 4 6";"1";"9.91";"7.84";"4.05";"3 4";"";"";"";"114.14";"93.17";"225.63";"81.62";"";""
"9886";"320";"156";"5";"";"53";"99";"1.33";"4";"3";"13.40";"0.00";"0.00";"2";"1";"0.00";"3";"4";"1";"0.00";"0.00";"";"6.30";"7.80";"7.20";"14.60";"0.00";"0.00";"35.48";"16.54";"16.89";"21.40";"11.80";"0.70";"3";"0";"";"";"";"";"";"5";"3";"12.95";"3.90";"2.38";"1.33";"0.00";"0.00";"1";"12.00";"24.40";"1 4";"0.00";"3 4 5";"2 6";"8.97";"8.19";"4.02";"3 4";"";"";"";"84.85";"69.84";"257.44";"82.30";"";""
"9905";"344";"175";"5";"";"43";"89";"1.00";"1 4";"7";"12.00";"0.00";"0.00";"1";"1";"11.30";"2";"1";"1 3";"0.00";"0.00";"";"9.80";"5.80";"5.10";"11.80";"0.00";"0.00";"29.85";"18.14";"11.04";"14.10";"5.50";"0.11";"3";"0";"";"5";"5";"9";"1";"5";"3";"13.83";"4.15";"2.64";"1.48";"6.22";"11.70";"1";"10.00";"26.70";"1";"0.00";"1 3";"1";"10.39";"10.30";"4.05";"2";"";"";"";"99.05";"88.54";"312.08";"89.38";"";""
"9908";"347";"178";"5";"";"45";"89";"0.00";"4 1";"5";"12.50";"0.00";"0.00";"1";"1";"0.00";"3";"1";"1";"0.00";"0.00";"";"6.30";"7.00";"6.50";"12.60";"0.00";"0.00";"39.16";"21.45";"15.45";"16.40";"8.30";"0.40";"3";"0";"";"";"";"";"2";"5";"1";"15.61";"4.03";"2.50";"12.85";"5.63";"9.90";"1";"11.20";"29.90";"1";"0.00";"2 3";"1";"10.90";"10.08";"3.99";"2";"";"";"";"101.23";"88.19";"307.59";"87.11";"";""
"9911";"350";"181";"5";"";"48";"94";"1.50";"4 1";"5";"11.70";"0.00";"0.00";"1";"1";"0.00";"2";"";"1";"0.00";"0.00";"";"6.10";"6.90";"5.90";"11.10";"0.00";"0.00";"33.37";"21.79";"15.43";"16.80";"8.00";"0.40";"3";"0";"";"";"";"9";"2";"5";"3";"13.64";"3.74";"2.40";"1.36";"4.63";"6.32";"1";"12.00";"23.70";"1";"0.00";"4";"3";"8.88";"8.48";"4.94";"4 3";"";"";"";"76.03";"62.99";"258.36";"82.84";"";""
"9913";"352";"183";"5";"";"45";"91";"0.00";"4";"7";"11.20";"0.00";"0.00";"1";"1";"0.00";"2";"1";"1";"0.00";"0.00";"";"5.70";"6.10";"6.60";"11.90";"0.00";"0.00";"35.51";"19.11";"14.59";"15.90";"6.60";"0.10";"3";"0";"";"5";"5";"5";"1";"5";"1";"14.64";"4.33";"2.71";"1.62";"5.90";"8.30";"1";"11.40";"25.20";"1 4";"0.00";"4 3 6";"1";"9.89";"10.29";"4.50";"3 4";"";"";"";"90.16";"75.83";"312.19";"84.10";"";""
"9914";"353";"184";"5";"";"51";"97";"1.00";"4";"7";"12.50";"0.00";"0.00";"1";"1";"0.00";"2";"4";"1";"0.00";"0.00";"";"6.90";"5.40";"6.10";"11.10";"0.00";"0.00";"36.83";"16.26";"15.56";"19.10";"8.70";"0.40";"3";"0";"";"";"";"5";"1";"5";"3";"13.42";"4.11";"2.69";"1.64";"4.55";"12.40";"1";"11.80";"23.80";"4 1";"0.00";"2 1 4";"1 8";"99.40";"9.92";"3.38";"2";"";"";"";"80.32";"66.00";"283.47";"82.17";"";""
"9928";"369";"198";"5";"";"65";"111";"0.00";"4";"7";"16.30";"0.00";"0.00";"1";"1";"0.00";"3";"1";"3 1";"0.00";"0.00";"";"6.40";"10.90";"9.60";"15.20";"0.00";"0.00";"37.90";"19.42";"16.56";"23.00";"6.30";"0.20";"3";"0";"";"";"";"9";"2";"5";"1";"13.10";"4.22";"2.64";"1.63";"7.95";"11.10";"1";"13.11";"21.55";"1";"0.00";"2 4 6";"1";"10.45";"8.98";"4.31";"2 3";"";"";"";"81.04";"63.26";"263.30";"78.06";"";""
